_id,YEAR,SECTION,AIRLINE_CODE,AIRLINE_NAME,SERVICES_DEP,SERVICES_ARR,PASSENGER_EMBARKED,PASSENGER_DISEMBARKED,PASSENGER_TERMINAL,PASSENGER_TRANSIT,PASSENGER_TOTAL,CARGO_LOADED,CARGO_UNLOADED,CARGO_TERMINAL,CARGO_TRANSIT,CARGO_TOTAL,MAIL_LOADED,MAIL_UNLOADED,MAIL_TERMINAL,MAIL_TRANSIT,MAIL_TOTAL
474,2021-2022,International,PIA,PAKISTAN INT',6882,6827,1242874,1049663,2292537,13109,2305646,22377,2761,25137,0,25137,87,2,90,0,90
475,2021-2022,International,QTR,QATAR AIRWAYS,2625,2625,622586,548332,1170918,0,1170918,25426,12744,38170,0,38170,404,259,663,0,663
476,2021-2022,International,SAW,CHAMWING,26,26,2861,2461,5322,0,5322,5,0,5,0,5,0,0,0,0,0
477,2021-2022,International,SEP,SERENE AIR,1226,1212,242709,98793,341502,0,341502,201,1,201,0,201,0,0,0,0,0
478,2021-2022,International,SIF,AIR SIAL,1,1,157,0,157,0,157,0,0,0,0,0,0,0,0,0,0
479,2021-2022,International,SVA,SAUDI ARABIAN,1917,1916,466187,449049,915236,0,915236,15238,828,16066,0,16066,0,702,702,0,702
480,2021-2022,International,TBN,TABAN AIRLINE,11,11,1427,1273,2700,0,2700,0,0,0,0,0,0,0,0,0,0
481,2021-2022,International,THA,THAI AIRWAYS,129,129,23027,16195,39222,0,39222,1420,453,1873,0,1873,0,1,1,0,1
482,2021-2022,International,THY,TURKISH,912,912,271084,248496,519580,0,519580,12098,7977,20075,0,20075,0,148,148,0,148
483,2021-2022,International,UAE,EMIRATES,2593,2593,806620,645744,1452364,0,1452364,31628,10746,42373,0,42373,110,257,367,0,367
484,2021-2022,International,UZB,UZBEKISTAN,14,14,2360,886,3246,0,3246,60,1,61,0,61,0,0,0,0,0
485,2021-2022,International,VIR,VIRGIN ATLANTIC,459,459,93365,82385,175750,0,175750,5277,1368,6645,0,6645,0,4,4,0,4
486,2022-2023,Domestic,ABQ,AIR BLUE,2178,2178,367709,367709,735418,0,735418,0,0,0,0,0,0,0,0,0,0
487,2022-2023,Domestic,FJL,FLY JINNAH,2964,2964,416430,416430,832860,0,832860,902,902,1803,0,1803,0,0,0,0,0
488,2022-2023,Domestic,PIA,PAKISTAN INT',10843,10843,1183040,1183040,2366080,2861,2368941,6642,6642,13284,0,13284,16,16,32,0,32
